date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:50:57	11682/11682	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202020%2018:20:56%20GMT	http://ivfixer.com/robots.txt		(from )
23:50:57	205695/205695	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202020%2018:20:55%20GMT	http://ivfixer.com/	E:/mari/templates/ivfixer/ivfixer.com/index.html	(from )
23:50:58	702/702	---M--	200	added ('OK')	image/png	etag:%22282660-2be-57368cb68f680%22	http://ivfixer.com/assets/img/favi.png	E:/mari/templates/ivfixer/ivfixer.com/assets/img/favi.png	(from http://ivfixer.com/)
23:50:59	144838/144838	---M--	200	added ('OK')	text/css	etag:%22282634-235c6-57368cb2bed80%22	http://ivfixer.com/assets/bootstrap/css/bootstrap.min.css	E:/mari/templates/ivfixer/ivfixer.com/assets/bootstrap/css/bootstrap.min.css	(from http://ivfixer.com/)
23:51:00	30964/30964	---M--	200	added ('OK')	text/css	etag:%2228266c-78f4-57368cb4a7200%22	http://ivfixer.com/assets/fonts/font-awesome.min.css	E:/mari/templates/ivfixer/ivfixer.com/assets/fonts/font-awesome.min.css	(from http://ivfixer.com/)
23:51:00	27091/27091	---M--	200	added ('OK')	text/css	etag:%22282631-69d3-57368cb2bed80%22	http://ivfixer.com/assets/css/styles.css	E:/mari/templates/ivfixer/ivfixer.com/assets/css/styles.css	(from http://ivfixer.com/)
23:51:05	205695/205695	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202020%2018:21:02%20GMT	http://ivfixer.com/index.php	E:/mari/templates/ivfixer/ivfixer.com/index-2.html	(from http://ivfixer.com/)
23:51:05	11016/11016	---M--	200	added ('OK')	image/png	etag:%2228263b-2b08-57368cb68f680%22	http://ivfixer.com/assets/img/logo.png	E:/mari/templates/ivfixer/ivfixer.com/assets/img/logo.png	(from http://ivfixer.com/)
23:51:06	9884/9884	---M--	200	added ('OK')	image/png	etag:%22282653-269c-57368cb68f680%22	http://ivfixer.com/assets/img/fixerlogo.png	E:/mari/templates/ivfixer/ivfixer.com/assets/img/fixerlogo.png	(from http://ivfixer.com/)
23:51:06	7614/7614	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202020%2018:21:07%20GMT	http://ivfixer.com/services.php	E:/mari/templates/ivfixer/ivfixer.com/services.html	(from http://ivfixer.com/)
